% w/o ans,% w/o acc. ans,median hrs to acc. ans
28.30188679245283,33.9622641509434,5.035972222222222
32.89473684210527,40.78947368421053,4.037916666666667
39.6551724137931,34.48275862068966,4.22
54.83870967741935,29.03225806451613,1.94875
47.540983606557376,31.147540983606557,4.016944444444444
27.77777777777778,22.22222222222222,13.801527777777778
40.0,31.428571428571427,5.6875
26.53061224489796,38.775510204081634,3.1180555555555554
37.2093023255814,32.55813953488372,16.833055555555557
42.64705882352941,35.294117647058826,13.043055555555556
41.75824175824176,39.56043956043956,5.581666666666667
39.08045977011494,42.5287356321839,11.884444444444444
46.15384615384615,33.33333333333333,4.852222222222222
44.827586206896555,24.137931034482758,3.4218055555555553
